Format: x y z  (R = removed from domain due to fracture isolation)
-0.2541759573 0.886285651 -0.4625331289
1.465469253 -3.338028708 -1.70914249 R
5.902143929 -0.05359007765 2.929452421 R
5.203641438 -2.680730291 2.595451395 R
-1.594177697 -3.469119644 -1.939728314 R
0.7300938025 -3.051446717 -2.662383474 R
-3.571563217 3.422771123 -1.077566188 R
-1.906159304 -2.855989571 -3.240711563 R
-5.511512173 1.923818598 1.743688522 R
-5.790897667 3.348520249 0.05532623048 R
-4.512980076 2.508305657 2.79250946 R
-5.026315124 1.343383189 -3.363268477 R
4.959136731 -2.46412177 1.037302383
-1.401853185 -1.092174797 3.274724322 R
5.847492077 3.309158636 -3.15278455 R
4.312293488 -0.5348527421 -2.875693959
-0.1200690789 -3.442080388 -2.67473023 R
5.897092713 3.01047529 -0.840521185 R
5.690846322 2.515523747 -0.03791373418
-1.175870039 -1.861493637 3.428308616 R
5.120487003 3.262553138 1.384277597
5.8989631 3.306958812 0.2200310788 R
0.03684681803 2.732289183 -2.976422843 R
-5.781468797 -2.431162288 2.844120048 R
2.256213783 -2.547495744 -3.18240085 R
-4.379733395 2.559053896 -3.423562814 R
5.443853441 -2.731687908 -1.336423617
-5.911985664 -2.147808021 -1.215444147 R
0.3849541665 3.192756995 -2.98823142 R
5.115128554 2.8442643 -0.1688741428
-5.374988879 3.466198248 2.692578051 R
-4.893750705 0.7263148863 3.351888706 R
-5.937258421 -3.402916011 2.250822778 R
-4.476224572 -0.4837337755 -2.901482943 R
5.96429114 1.522887218 -0.06114596317
-0.72085607 3.388212507 1.801210132 R
-5.539554907 -3.242340295 -3.044572132 R
5.739553077 -1.743136363 -1.587087734 R
5.450897345 1.712107488 -2.597551408 R
3.007108946 2.909140529 -3.328291497 R
-5.882945384 -3.092426401 0.9381656452 R
-4.876527981 3.208625074 -2.917119423 R
-4.316809874 0.9326319376 -3.110786592 R
-5.230387783 -3.271289388 -0.969923139 R
-3.630041338 2.244301694 -3.148847467 R
-0.6501940439 -3.235592091 0.9631776244 R
5.414742936 3.007658554 1.178460433 R
-4.626861781 0.8404988653 -3.496270375 R
-3.389927549 -3.282679404 -3.223199268 R
5.57756376 2.06828638 -2.449402937 R
-2.331076706 2.728968832 -3.092904634 R
1.08578876 -3.480049043 1.304271652 R
0.6532157041 -3.050759105 -0.04829410676 R
1.817694675 2.667125063 2.745661452 R
4.02657901 2.609919979 -2.725470614 R
-5.561606251 -1.546819701 -3.174755227 R
5.545931006 -3.347456282 0.3018191328 R
1.5147786 1.208400775 -2.955505919
2.45185864 3.403536042 -3.38303791 R
1.110594466 -2.993098995 -3.278132466 R
-5.860648961 3.473164496 -0.1918639877 R
5.811929329 -3.433126192 -0.8026979551
-4.709450322 -2.747339994 -3.474475649 R
5.987599217 -1.901564032 -1.457918253 R
4.663090691 1.736650608 -3.403710085 R
-5.930757375 1.914651463 2.574172633 R
-0.7821124938 1.221366813 3.214838854 R
-4.302459014 -2.630789702 -2.573051259 R
2.555736392 3.101708505 3.108488782
-5.284512449 -0.458692285 3.165918052 R
5.598498344 -2.373014384 -2.826742972 R
-1.70018173 -1.166914876 2.86637133 R
1.490874545 -0.1072366469 2.933176838
4.877397645 2.871402316 0.04023032758
-5.909732158 2.178660951 3.071020361 R
-3.619933113 3.452891759 -2.816323117 R
4.847277795 -2.205545228 -3.489521662 R
-1.82970796 -2.932452602 -0.02863345837 R
5.180568532 2.735058632 -1.345018406
-1.048371343 2.223766767 3.253896531 R
4.556898458 1.422066118 3.015931404 R
4.890285311 1.580810394 -3.26710458 R
-2.376678021 2.755263326 3.280563918 R
2.722553382 -2.086882672 -3.454497834 R
4.932264152 -3.018951179 -3.216557724 R
-5.898661807 2.808002282 -1.157815324 R
-5.399265985 1.15706147 -2.485788643 R
-5.970088925 2.706573215 -1.621020272 R
-3.640619238 -3.401089723 -1.592857914 R
-4.302248755 -1.354451081 -3.462089347 R
1.177562062 3.193142547 1.092742787 R
5.053976121 3.242444204 -2.793708434 R
-2.127521479 3.105180849 2.661838076 R
5.840773123 -0.8652548572 3.129001628 R
2.915712563 -3.18219579 1.485024388 R
-1.174403181 0.8469641411 -3.236921457 R
-5.828225203 -1.743339558 -3.080265213 R
3.401399735 -2.703970435 -0.8827365028
-0.9895522672 2.915589658 -3.49618162 R
1.30020701 2.646391256 -2.771272266 R
-1.709337777 2.155574339 2.800987258 R
-4.039842449 3.38468799 -2.810627892 R
4.73339301 -1.989388035 -1.023472765
4.136216974 -2.251740109 3.490087948 R
4.832720788 1.721450836 -2.879966018 R
-0.7045742308 3.426330799 -2.472197758 R
2.957943431 1.325544171 3.462606597 R
-5.26148868 -2.595741127 1.998194662 R
5.955293594 0.9692795935 2.277139568 R
1.616055392 2.120456515 3.457889567 R
-1.858422036 3.482108353 -2.338024837 R
5.901443811 2.627662768 0.50323132 R
2.722830229 3.237054097 1.85533143 R
-2.896078913 2.92571379 0.8774724638 R
-5.995818658 0.1747247419 -3.174661849 R
-2.779977541 2.443241384 3.461954209 R
3.991369673 1.623373061 -3.319279414 R
3.372407844 0.3723877044 2.884301277 R
5.183091964 2.698798993 3.123310735 R
5.672996675 3.395939278 -0.161638072
-5.488793688 1.405574446 2.706654727 R
-2.532915092 3.480685382 -0.2544314973 R
-2.76733458 2.06195656 -3.33325303 R
-5.926171938 3.052254492 0.2879062873 R
-5.264299224 -3.11907864 2.872885468 R
-4.219576471 3.370191557 -0.01437834707 R
2.769880274 -2.664115487 -3.366855985 R
-2.069574143 2.571710111 -3.487531838 R
5.870642514 2.427622953 0.653037255 R
5.288409004 -3.283070664 3.284654918 R
0.6941883285 -2.984433791 2.077071101 R
4.407861016 -2.78589607 -2.364519008 R
3.063403729 2.896303697 -2.773182088 R
-2.961412919 3.340503179 -3.173151368 R
-5.73642039 -2.468980962 -0.7681402063 R
4.353628754 3.487575499 2.442785853
3.815620532 -2.620177084 -3.372824442 R
1.970849569 3.461871916 1.120464845 R
-0.7569672448 -3.105678149 2.792995242 R
-0.2127768895 -3.432999177 1.758394233
-1.314736345 3.243316475 -0.6189720622
-4.09076042 -3.135819918 -2.505177337 R
-0.6762934566 -0.8315219469 -3.188383685 R
-5.83413697 -1.351958694 -0.2558522241 R
-0.01989275626 1.393812708 -3.150708762 R
-4.52149973 2.11428643 -2.523422318 R
-2.210084889 3.15677356 -2.706289666 R
5.590316805 3.120101077 -1.145148069 R
4.478173814 1.746503615 -3.316096393 R
-4.309827211 2.543380716 3.229590819 R
-2.461865874 -3.46252829 -3.307689358 R
-1.000807595 -2.118571021 3.449500379 R
5.868563858 2.18007069 -1.157453987 R
5.843124654 2.146193223 3.020890353 R
4.651213774 0.7201655686 -3.233747877 R
-5.648249583 -2.556991126 2.38603615 R
-5.237294858 -3.495509466 -0.9037637511 R
5.981059034 -0.06695363572 3.475409139
0.1040691962 2.858627112 -3.010110928 R
-2.77860227 3.24525333 3.320048364 R
-5.37856486 -3.248031491 -3.138174542 R
3.154330625 0.6723146568 2.986850429
-0.2843093546 3.489159005 -2.927593151 R
1.992901786 -0.3104466892 -3.126984849 R
-0.1159007248 -3.089951866 3.428865978 R
4.724327438 -3.09763972 -3.176185086 R
0.2235028822 -2.776595251 3.359262144 R
-1.944329113 3.428584272 1.46504376 R
-3.25705238 -1.69940166 -2.870994803 R
0.8850121707 3.3163763 2.481773868 R
-5.826858883 0.2305179528 -0.3736999123 R
4.105876372 -0.3351695517 -2.794176226 R
1.090010943 -1.765816249 3.402908452 R
4.532858235 3.451347752 -3.365745331 R
-5.337240086 -3.391451301 0.9446189968 R
4.468100975 -3.270634526 3.290067338 R
-5.749107737 -1.45291757 0.8781802652 R
1.986056888 2.290823832 -3.157243687 R
-4.637526751 0.6517208068 -3.136797911 R
1.80405335 -0.8195585442 -3.415221609 R
5.017728499 3.05223174 0.5928677036 R
3.67425096 -1.596845635 -3.262092197 R
-0.08148906543 -2.992873502 1.700608482 R
0.05243158033 -3.08320491 3.251626094 R
0.2923803728 2.219335209 3.11162462 R
2.110052767 3.402500152 -2.930625784 R
3.913465085 -2.542061871 -3.451986715 R
5.639873276 -2.672769508 3.421139389 R
-0.09843744689 1.753523102 -3.203878064 R
5.068449182 3.079002114 2.814284421 R
5.065127573 -1.251099605 -2.664020126 R
0.5259001707 -3.444391264 -2.322103949 R
2.754045856 3.336687537 0.104987021 R
-1.991971705 0.5808955287 3.469485485 R
0.7059572452 -3.476593573 -3.035589353 R
4.868066458 2.655095865 3.328931075 R
-1.460059041 -3.245140603 -1.961950174 R
2.050656009 -3.274598299 -1.901691181 R
3.655493473 0.4391782793 3.208291904 R
-1.288846445 2.320011323 -3.288703064 R
-2.47449305 2.46621442 -3.241014059 R
-5.605735916 2.18554153 1.955227635 R
-5.207734813 0.6588517845 -1.225185162 R
2.59974552 -2.542541759 3.250256528
5.493399824 -2.052001228 1.058595002 R
-1.566156046 -2.978948634 -2.696667549 R
2.86079722 -3.123745269 3.044783789 R
-5.872311602 1.476040462 3.416121726 R
-2.501395916 1.830740641 -3.09646169 R
5.704748159 -3.06183264 -0.8889913509 R
-0.8772482886 2.630919821 -3.480443238 R
3.31347457 -3.201298988 0.3387298963 R
-4.78329121 -3.135770376 3.374452502 R
2.61028892 2.678662662 3.372571443 R
4.507767274 -0.1208515797 2.673890163 R
-2.418597216 3.020772554 2.976956105 R
-0.5161733485 -2.980513467 -0.2496379397 R
-1.992324719 2.056879441 3.258800129 R
-2.570834779 2.977629526 3.034374973 R
-1.683955713 -0.05404805142 3.179322516 R
1.880033988 -3.173228919 -3.131946985 R
-2.905695393 3.284772064 3.03847834 R
5.77584995 3.064394598 -0.8162057163 R
0.2283909214 2.772706775 -3.295429547 R
-0.9288773845 -2.678252686 3.005465905 R
3.657461933 3.074019308 0.840523699 R
-3.313883761 0.6157483526 -3.284455712 R
-5.988034476 3.439267269 0.9828552803 R
-3.12846239 -2.962035147 3.358067013 R
3.499493253 3.259877567 1.534310629 R
0.6872436915 -3.465750742 -3.08846112 R
5.115409035 -3.114999405 -2.138540506 R
-1.127733083 -1.90298576 3.008246337 R
2.869021348 1.687907377 -3.053105966 R
-2.97446485 -3.23985522 3.387356647 R
3.704643861 -0.7649952313 -2.876923048 R
5.811685125 3.032412492 0.5906485798
1.39051819 0.6403052194 -3.426634007 R
-5.354238146 2.718248366 0.2803164796 R
4.179586508 -3.253149264 -1.563240856 R
2.155601933 -0.9045790283 -3.129327782 R
-5.77917039 3.451413317 -0.4973210136 R
-2.364781304 -2.949765328 3.279550682 R
5.714632538 2.665378353 2.337755763 R
3.178394209 1.316826796 -3.326844082 R
-5.388944354 -3.407256262 -2.373909413 R
-2.53026947 -1.946165794 -3.417834371 R
1.137498467 -2.938773667 -2.672758245 R
1.129937104 -3.419380709 -3.076681131 R
-2.093046209 -2.55211001 -3.136922228 R
-2.03313939 -2.394363261 -3.327831826 R
0.7829127712 -2.806787131 0.8843016844 R
3.011859653 -3.039231552 -2.84095859 R
1.939785245 -3.138552304 -2.981559958 R
5.59236121 -3.03886764 -2.518636265 R
4.141718227 -3.401744103 1.510383718 R
2.553625859 2.454711208 3.141316518 R
-5.741015524 -2.441699407 0.2661346187 R
5.944178152 -2.214915633 -2.685496654 R
5.619425793 -2.478373327 2.725417026 R
1.344451485 -2.991832728 0.5810987789 R
4.390472485 2.229676168 3.330735924 R
-5.506356934 3.112099378 0.07646790416 R
-4.996966545 -1.647832154 -3.488894119 R
-5.334364071 2.860077575 -3.277327152 R
1.477053128 -2.993659354 -1.599579461 R
-1.659251803 2.401591879 2.606144561 R
5.629168606 -1.759170892 2.658873373 R
0.2088938095 -0.05309100665 -3.114947448 R
-5.509836891 1.30769386 -0.7260848505 R
-3.036104025 2.329250128 -3.485729117 R
-0.5304174286 3.429255389 2.031294779 R
-0.005916735176 -3.447677445 -3.12954322 R
5.5078699 3.023990768 0.1794241054
2.616557735 -3.339126964 -1.986470523 R
5.856228944 1.578236331 2.537621791 R
4.647178446 3.217316165 -3.052089922 R
3.394190939 3.216931432 -1.727597318 R
4.18614122 3.184335726 -2.366417265 R
-2.314618167 3.49378627 2.044790606 R
-0.8210103283 3.146040538 -3.216576679 R
3.43511655 -3.434860175 1.589552353 R
-1.41442731 -3.378121032 3.02269341 R
-5.563771997 -1.193489041 2.256061873 R
2.811387865 -0.9827455408 -0.1163599421
-4.445824347 -3.230745989 2.355393416 R
0.4290530746 2.677196694 -3.327954136 R
-5.6897437 0.7708170025 -0.9869692594 R
3.095510515 0.6516820474 -3.041537516 R
-1.276098361 -2.545226114 -3.47992287 R
0.04160899944 -0.6293386278 -3.362245651 R
4.001507268 3.320114294 -2.381352154 R
5.453616745 3.408562628 -0.9801185875 R
-5.386171916 -3.335912315 -2.810122803 R
5.936657265 3.145246264 -1.180512015
-0.370042715 3.142374103 -2.777889236 R
-0.1015402036 -3.403132297 -1.954325733 R
-4.412946057 -3.370550573 -2.06007787 R
-1.36212044 1.213186257 3.452918474 R
-5.914770273 1.352402348 2.282651652 R
4.405683989 1.114962706 3.319732185 R
-2.036267874 -2.648276537 3.182355325 R
4.423512174 -3.054190294 0.1413325692 R
-5.831679422 3.45083599 -0.0983801404 R
0.8802639874 2.116984308 3.244480512 R
5.994399844 0.2389174246 -1.969464925 R
-1.63439 1.765565184 3.327488343 R
5.506281252 -0.383527314 -2.715653838 R
1.582693691 -0.1958086399 3.394313668 R
5.996411373 -1.197947485 -1.301086985 R
-5.365645681 2.49137376 -1.73712019 R
0.2368293438 2.631119008 -3.374177335 R
5.076190302 1.72450988 -3.153162644 R
-1.315395213 -3.120610343 3.182515779 R
1.047471566 2.609802626 3.083430553 R
-4.390862306 -1.659106886 -3.459666658 R
-0.1506204458 2.331872177 -3.486506798 R
1.303228793 -3.461574991 0.003437777763 R
2.231773773 3.310071172 0.8676849477 R
-5.814622219 -2.40988067 0.2463564073 R
0.8325529498 -3.329015602 -2.680249437 R
-3.946771848 1.898626944 3.412758834 R
2.1208115 -2.042518404 -2.894650875 R
2.426445631 -2.538329774 2.8043327 R
1.791659668 3.216578384 -3.025296743 R
5.900328685 -1.016034846 3.14711323 R
-1.035946316 -1.338884806 -3.493715589 R
1.734084546 -2.290100611 3.246807474 R
0.1129547302 3.466422353 -3.005126824 R
-1.10794294 -3.100504915 3.022980312 R
-5.212251768 -3.240439523 3.404512681 R
4.597479089 1.49768108 3.467371866 R
-4.486570685 3.382260373 -1.665799833 R
2.835364986 3.341222541 3.376517095 R
2.624095296 3.105147413 -3.476783314 R
2.075125473 0.2254962127 -3.163475276 R
1.819763614 -2.06967658 3.208796617 R
1.147520578 -2.657274166 -3.246170585 R
1.125895705 2.993685017 3.323552485 R
-0.02030423007 2.768596409 -3.338600146 R
5.948699793 3.468585197 -0.4678888049 R
5.666530554 -2.687222028 -0.5380897507 R
5.094089807 -2.289182423 3.188267701 R
-0.3162211504 2.67164115 0.3631823915 R
5.60334979 2.862353351 -2.697169224 R
2.496628708 3.25304799 -2.908911842 R
5.186004807 3.258000856 -1.195691124 R
3.57371535 -2.276596406 -3.244777085 R
-1.176853313 0.2408514708 -2.992877177 R
5.400492259 3.275156036 -3.052452067 R
2.616962267 2.232754476 3.038514193 R
-5.379880159 3.329729559 0.1768879317 R
5.795933483 -2.980602868 -2.592337312 R
5.274193902 -2.17261173 2.723622464
5.321252973 3.42626956 -3.421362335 R
2.605241749 -2.861267918 1.47885093 R
-0.7609813718 1.465976462 -2.986573547 R
3.230087458 2.993856088 0.7309079859 R
-2.965950202 -2.922885332 3.191740667 R
-2.232375942 3.463406997 -1.748383621 R
0.01049920346 -2.45216945 -3.141010116 R
-1.144165512 3.281503277 -0.4862837328 R
-2.816504182 -2.631174673 3.416258896 R
-1.382719627 -2.833829485 -3.403275323 R
-1.796593953 -2.893582242 1.095225658 R
-5.939475629 -1.067854741 -3.148016941 R
-3.102009301 -3.257172184 -2.928925291 R
-0.03561550388 3.321224871 3.198298338 R
-0.6285194137 2.843092133 -3.35184008
4.511164483 2.264205092 3.221115126 R
-2.525326785 2.111177844 3.458632938 R
-0.5631547716 -2.989010929 2.47880229 R
-1.265789366 -3.097442371 1.923895447 R
-1.168346086 -2.875361202 2.252616664 R
0.6856273519 2.061554949 -3.278721619 R
4.538162426 -0.2775927496 -3.498140482 R
-2.67603428 3.461507877 3.242568185 R
1.921647451 -1.667997262 3.426633119 R
-1.592851331 0.2977087696 -3.357000489 R
-5.273911197 1.757824181 -2.336576868 R
-4.754812113 -2.980798362 2.039726089 R
0.1812802902 -3.494581213 3.299819029 R
-2.652425849 3.319578222 -2.635057665 R
-1.602038116 -2.709469666 -3.48435548 R
