Format: x y z  (R = removed from domain due to fracture isolation)
-0.2541759573 0.886285651 -0.4625331289
-2.699117278 1.038061133 1.278553493 R
3.064880265 0.8893366254 2.035782527
-2.035958321 -1.739929314 -2.138526105 R
1.324992191 0.8477357346 1.465710492
-1.640016432 2.138693916 2.856468888 R
-5.213797486 -1.714549313 -0.6829026714 R
-0.4023954099 -3.072456178 1.172438415 R
-5.298837975 2.576063558 -0.9691018101 R
0.01584046406 1.716028787 -1.753671722
5.851353604 -1.86169758 0.7614126533
-4.96156259 3.004978274 0.2958552024 R
-4.632753662 -3.040650746 2.636949263 R
4.485520738 3.312743143 -0.02083177314 R
-4.877469651 -3.349652522 3.399153429 R
1.588309108 3.108669718 -1.463831014 R
-1.646749046 2.804807911 -1.851195764 R
2.906466497 -2.701385265 -3.102487375 R
4.751202278 0.9239697711 -0.965710929
-4.329479301 0.1993073229 -0.4878254031 R
3.496428625 -3.280526198 -1.585351765 R
5.798871019 0.8022899103 2.700459352
-4.258093724 -1.82060961 2.192742927 R
4.243843413 -3.234475135 -3.051282402 R
3.743685622 -2.147338406 2.886222638 R
-1.993156945 1.777244972 3.428196581 R
-0.2171588052 -3.2292334 -2.689236575 R
-1.383485381 2.869658205 -2.257729788
1.451765281 2.388771634 3.492162105 R
-5.637532875 -2.506135101 -3.316067796 R
-4.588509696 0.4340635664 3.343862717 R
5.853950718 -1.277634589 2.7351449
0.7540507339 1.461688263 -3.340009451
-1.994600788 3.429415931 -1.573533495 R
-4.647336698 -1.204881435 -1.706755082 R
-0.2286938458 -2.218437174 1.648893158
-5.801134182 -2.687962642 1.141110617 R
-5.434216704 0.3450158859 2.273355772 R
3.979484073 -1.191741112 -0.2937460178
-5.374010511 3.38657996 -0.2611324216 R
-3.187220704 2.020872354 -3.352080087
1.577159011 0.04166047138 3.19993345
-4.502661151 2.952513439 1.674068866 R
-1.466804526 -0.9790415925 3.091096694 R
-0.896648119 -2.467465553 2.722271091 R
5.465633502 1.196798072 -0.8752106207
4.032751787 3.451253944 -1.107992198 R
3.955759027 2.834441951 3.078758798
3.722690297 3.073243374 0.08265317359 R
0.1267407866 -2.765618051 1.776724992 R
4.891162836 -3.287830304 0.738715656
-5.258829579 3.120156345 1.937055192 R
3.145784268 2.623789963 -0.3188465241
-2.089317312 3.483388992 -0.9678366189
4.698284429 -0.1754360848 -2.965985821 R
-3.485323253 -2.105871136 -2.849488354 R
0.9965548757 -0.4356068953 3.314124186
5.949785955 -0.2859871713 -3.305335715 R
-1.637811366 1.676631993 -3.211210301 R
-5.633376187 0.5544590197 2.698074229 R
-0.8413687083 -2.900052451 -2.90008831 R
-4.464902813 -3.213676626 -2.374951185 R
-5.848140863 2.698500207 -1.091552135 R
-3.181492086 -2.312461027 -2.526124602 R
-0.4010398898 2.958528186 2.149879436 R
5.579076736 2.930899319 1.147841555 R
-3.524720252 -3.430578852 3.466282607 R
-5.969302763 1.06395136 -2.739799197 R
-0.2866829308 -3.230663976 2.857306769 R
1.665102962 3.296610617 2.601340506
4.926569374 -3.213562874 -3.465932108
-2.661951216 3.065431286 2.692494784 R
2.839383702 3.337738041 3.429696469 R
1.0953529 -3.370250782 -2.938295566 R
0.9515035555 -3.437722452 0.6596799284 R
-4.310189423 2.581596549 -2.54120156 R
-0.3600028364 -2.161784637 3.268126
4.689113582 2.816682319 -3.305335934 R
1.148461173 0.4798364074 0.1395876654
-5.650452835 0.812593624 2.651845417 R
5.604779145 -3.16348944 -2.217330505 R
-5.866516063 3.443247495 0.6103619112 R
-0.3868581742 2.098153884 -2.687948699
-0.1292989054 1.414032677 -3.410803738 R
5.999853659 -1.749616134 -2.091860246
-4.895359771 1.783005755 1.831369599 R
-2.577879955 2.15779758 -3.34087124 R
-1.197908842 -3.438136269 -2.877925168 R
5.681318677 -2.522183444 -0.623331298 R
-5.057068103 -0.08803717181 3.191924252 R
5.140038541 -0.3067466637 -3.159267632 R
0.6889712273 -2.770573309 1.496079834 R
5.85733753 -1.050846356 1.739990954
-5.076309845 -2.452383662 2.245748851 R
3.759133565 -3.336001011 3.008278308 R
4.799403379 3.347688531 0.6831359348
-5.649959042 -2.842624034 1.754454426 R
5.779742017 -0.670820292 -0.6824070962
-5.481543217 -3.007355742 1.781556459 R
3.999224368 -3.41309152 1.3571849 R
-1.915862821 2.641001648 3.000177518 R
-1.202650656 -2.997453962 3.28946791 R
1.71615247 -3.315548873 -2.582799968 R
0.7013245845 3.357754273 -2.512719965 R
-4.043336842 -3.087430603 -0.2607212846 R
3.912733192 -3.013260292 -2.448104743 R
5.239444267 -0.6650438183 -3.311184219 R
2.714513474 -3.374886075 1.943092659 R
-2.735466891 1.089516988 -3.393369677 R
-2.890387143 3.022387798 2.861813104 R
5.827643759 3.300286031 2.824366795 R
-1.617646879 3.412302055 0.8498199667 R
5.726590807 1.589460103 0.3153609443 R
3.591433721 2.053707286 2.939369933
-3.668153688 -2.828204589 3.306164411 R
-0.008486739058 3.323456953 -2.874466466 R
5.970733342 2.912480216 1.315899144
