num_connections perm aperture
5 2.255367069e-10 5.202346089e-05
6 2.255367069e-10 5.202346089e-05
6 2.255367069e-10 5.202346089e-05
6 2.255367069e-10 5.202346089e-05
10 2.255367069e-10 5.202346089e-05
7 2.255367069e-10 5.202346089e-05
10 2.255367069e-10 5.202346089e-05
3 2.255367069e-10 5.202346089e-05
2 2.255367069e-10 5.202346089e-05
3 2.255367069e-10 5.202346089e-05
4 2.255367069e-10 5.202346089e-05
5 2.255367069e-10 5.202346089e-05
2 2.255367069e-10 5.202346089e-05
1 2.255367069e-10 5.202346089e-05
4 2.255367069e-10 5.202346089e-05
5 2.255367069e-10 5.202346089e-05
2 2.255367069e-10 5.202346089e-05
5 2.255367069e-10 5.202346089e-05
4 2.255367069e-10 5.202346089e-05
1 2.255367069e-10 5.202346089e-05
3 2.255367069e-10 5.202346089e-05
3 2.255367069e-10 5.202346089e-05
3 2.255367069e-10 5.202346089e-05
2 2.255367069e-10 5.202346089e-05
3 2.255367069e-10 5.202346089e-05
2 2.255367069e-10 5.202346089e-05
4 2.255367069e-10 5.202346089e-05
4 2.255367069e-10 5.202346089e-05
1 2.255367069e-10 5.202346089e-05
3 2.255367069e-10 5.202346089e-05
3 2.255367069e-10 5.202346089e-05
4 2.255367069e-10 5.202346089e-05
2 2.255367069e-10 5.202346089e-05
5 2.255367069e-10 5.202346089e-05
3 2.255367069e-10 5.202346089e-05
3 2.255367069e-10 5.202346089e-05
4 2.255367069e-10 5.202346089e-05
2 2.255367069e-10 5.202346089e-05
1 2.255367069e-10 5.202346089e-05
2 2.255367069e-10 5.202346089e-05
3 2.255367069e-10 5.202346089e-05
1 2.255367069e-10 5.202346089e-05
2 2.255367069e-10 5.202346089e-05
2 2.255367069e-10 5.202346089e-05
1 2.255367069e-10 5.202346089e-05
3 2.255367069e-10 5.202346089e-05
2 2.255367069e-10 5.202346089e-05
3 2.255367069e-10 5.202346089e-05
2 2.255367069e-10 5.202346089e-05
1 2.255367069e-10 5.202346089e-05
3 2.255367069e-10 5.202346089e-05
2 2.255367069e-10 5.202346089e-05
1 2.255367069e-10 5.202346089e-05
2 2.255367069e-10 5.202346089e-05
2 2.255367069e-10 5.202346089e-05
0 2.255367069e-10 5.202346089e-05
2 2.255367069e-10 5.202346089e-05
3 2.255367069e-10 5.202346089e-05
2 2.255367069e-10 5.202346089e-05
