f1 f2 x y z length
1 3 0.3544127987 1.331036838 1.270974969 1.931175235
1 4 0.05330829843 0.7378359757 -1.788163321 3.877669455
1 18 1.461571957 1.2958571 -0.5563028221 0.6264912807
1 24 0.4040713389 1.175599997 0.2813125588 2.510055083
1 -2 -0.9333837256 0.3725005812 -2.5 1.531272414
2 3 2.269355019 1.201262316 1.278927675 2.430443588
2 7 4.490132022 0.08020981648 2.027477389 1.20157627
2 30 3.490156153 0.6068462512 1.809502752 1.410959343
2 41 1.891768388 1.5852328 2.205660861 0.6320162148
2 -5 5 -0.1748935959 2.211758991 0.5861028551
2 -1 3.166581115 0.9168726541 2.5 4.214598498
3 14 2.143862777 0.05142831935 1.807477521 2.78182383
3 20 1.295050624 -0.1508144055 1.922600626 2.186399625
3 23 -0.4951408022 -0.599491735 2.175512338 0.7969319113
3 42 1.611588791 0.03386795406 1.829763532 2.791730901
3 52 2.658904222 0.8464999998 1.430525137 1.586075005
3 -4 1.315362808 2.5 0.7112970248 4.00006793
4 8 -0.9125509738 1.755002125 -1.891855497 1.668445824
4 13 -1.646894468 1.067792005 -2.030616126 0.6368419555
4 19 -1.414537481 2.154001438 -1.951066833 0.7119479554
4 25 0.1425342214 1.856858936 -1.728818219 2.225759371
4 59 -1.424327028 1.774971099 -1.968091504 1.520788094
4 -4 0.01346043104 2.5 -1.721865597 4.000018433
5 17 4.396798236 -2.304131847 1.741039842 1.450164072
5 32 4.442277095 -2.042972973 0.7547469667 1.291871486
5 36 4.478585173 -1.790733082 -0.2016851845 1.063821179
5 40 4.498616628 -1.671698469 -0.6515814653 1.012728322
5 45 3.983609769 -2.126287962 0.8465038251 0.3307053769
5 46 4.522298536 -1.591933355 -0.9479088872 1.055956056
5 58 4.36517436 -2.409338176 2.131686383 1.311541165
5 -6 4.056612215 -2.5 2.32715811 0.7707224296
5 -1 4.700518874 -2.461105599 2.5 0.6039924489
5 -5 5 -1.931596153 0.6042681935 3.916377001
6 15 4.276106126 1.166958421 -1.212749784 1.727517817
6 29 4.413057151 -0.04930295604 -1.128159341 1.077596643
6 34 4.388925984 2.276074766 -1.167705685 1.376737561
6 39 3.164764854 0.0671272078 -1.771148929 0.46253674
6 56 3.891461002 -0.8710012058 -1.386672042 2.079196404
6 -5 5 0.7124003121 -0.8353577147 3.575442919
6 -4 3.988188929 2.5 -1.376300951 2.275295492
7 9 4.661078936 -0.4870342268 2.027594234 0.8200477828
