f1 f2 x y z length
7 16 4.213978215 1.579817715 2.10468611 1.87289447
7 27 4.50528196 -0.9330459262 1.89970187 1.084585803
7 31 4.557820765 1.742439174 2.277902715 1.581139351
7 35 4.341861855 1.911485789 2.205095346 1.213995303
7 48 4.699624595 1.991936987 2.373547049 1.040302202
7 52 4.493580748 -0.2315371526 1.987630182 1.228709006
7 -5 5 0.3937950107 2.293944981 3.132853223
7 -1 4.916743302 2.223304882 2.5 0.5778991818
7 -4 4.3792656 2.5 2.299685183 0.9928600023
8 50 -1.472325809 2.018332972 -0.335881078 1.104321239
8 -4 -1.468409584 2.5 -1.25351356 2.584259543
8 -2 -0.6883091437 1.64142564 -2.5 1.929236153
9 -5 5 -0.4701581341 1.600342017 1.927664922
9 -1 4.493206086 -0.5956337748 2.5 1.105241749
10 33 2.521351874 0.3721016115 -2.281582457 0.3182879681
10 39 0.8569612844 0.008351473141 -2.354309039 0.5134807651
10 -2 0.8660824707 0.2300780326 -2.5 3.776552583
11 23 -0.5744895081 -1.423307685 2.101317074 2.233415597
11 24 0.0246889109 -0.8685806229 0.8292023937 1.172094056
11 -6 0.04387386463 -2.5 1.205078639 2.930275545
11 -1 -0.7986488323 -1.325117611 2.5 2.370677819
12 24 2.530218026 -1.2131876 -0.04386608128 1.172329801
12 29 4.440588139 -1.130154021 -1.494628967 0.9586736595
12 32 4.109467523 -1.234460635 0.5979866611 2.062761118
12 46 3.92119091 -1.155787685 -1.037568291 2.375253546
12 -5 5 -1.184914795 -0.300247239 4.000089487
13 -2 -3.139251268 1.153679198 -2.5 3.852138913
13 -3 -5 0.5504477826 -2.397480281 0.2947610602
14 -1 1.739123714 0.1729006807 2.5 4.197764395
15 26 4.579398973 -0.1901136016 -1.935780909 0.7982248784
15 38 4.527912159 2.014895115 -0.6423168446 0.9781704724
15 -5 5 1.001115168 -1.116429872 3.485038547
15 -4 4.21887884 2.5 -0.4378021604 1.617731849
16 28 4.140352018 2.081952304 1.615772239 0.9648644178
16 35 4.144786415 1.91825863 2.353725363 1.182514058
16 54 4.182258914 1.87642409 1.467843377 1.349304096
16 -4 4.058872468 2.5 1.805493696 1.389806768
16 -1 4.193797031 1.617753047 2.5 1.792712324
17 -5 5 -2.306599177 2.174547192 0.6601244132
17 -6 3.984078325 -2.5 1.171216214 2.508861522
18 24 2.216079593 1.501090362 -0.4640545869 1.94170215
18 38 4.497045611 0.9249780721 -0.2285649267 1.08234635
18 43 3.844450328 1.674766787 -0.2747287219 1.828797741
18 -5 5 1.560668172 -0.1489826256 1.879898302
18 -4 3.079272628 2.5 -0.3308110884 3.865644435
19 50 -2.055086007 1.895951678 -0.008306364831 1.239190604
19 59 -1.308259116 2.198259901 -2.274363825 0.6219537538
19 -4 -1.891589195 2.5 -0.8615855706 3.484487657
19 -2 -1.237700914 2.244206188 -2.5 0.5261315836
20 -1 1.200271952 -0.3001844847 2.5 3.96485441
21 41 2.475175431 2.255666225 1.967055641 1.141811086
21 -4 2.292752316 2.5 1.68275038 1.634758759
21 -1 2.763236993 1.867891646 2.5 1.593528307
22 46 3.685599008 -2.372576518 -1.680820999 0.2888615997
22 -6 3.823224039 -2.5 -1.853319539 1.454470438
22 -2 4.014640138 -2.131781384 -2.5 0.7887717318
23 49 -0.634115048 -1.962967235 2.01969603 1.148774496
23 -6 -0.6975802986 -2.5 1.920638773 1.189388228
23 -1 -0.4769220943 -1.353878935 2.5 2.29875937
24 56 1.939245103 -1.002332416 0.1363690031 2.422041108
24 -4 -0.6373641161 2.5 0.4099926954 0.3311475265
25 50 -0.1138364124 2.031330336 -1.055064276 1.537123548
25 -4 -1.02407109 2.5 -1.64162067 1.724080731
25 -2 0.2116828739 1.779961374 -2.5 2.998658897
26 -5 5 -0.5767560838 -1.768893355 1.55042646
26 -2 4.616680433 -0.4285197908 -2.5 1.116717282
27 32 4.432052606 -0.7799216258 0.8079531054 1.326902672
27 53 4.16668129 -0.9357122148 2.180915538 0.5486416563
27 -5 5 -0.8864619783 1.168720405 2.686129858
27 -1 4.462739962 -1.008722178 2.5 1.080191566
28 30 3.674441024 2.100784048 1.730173381 0.9565361342
28 47 4.812150183 2.111627684 1.416922494 0.939139237
28 -5 5 2.056972842 1.398866553 1.03168411
28 -4 3.961819911 2.5 1.414577269 2.150523024
29 56 4.402713617 -0.8698698812 -1.421562069 0.9145895997
30 52 3.463057887 0.3859829386 1.818943165 1.372646201
30 -4 3.725111835 2.5 1.68669334 1.629938771
30 -1 3.523008852 1.248973494 2.5 2.51999086
31 -5 5 1.738043052 2.036881173 1.543788547
31 -4 4.614809574 2.5 2.123999923 0.8779865299
31 -1 4.321386449 1.169449607 2.5 0.3499870568
32 45 3.859795567 -2.285898817 0.4026937191 1.470047744
32 56 4.011513629 -1.048417978 0.5494152734 1.841839171
32 -5 5 -1.483335752 1.107160854 2.035559683
32 -6 4.11650813 -2.5 0.5428018107 2.047003666
33 39 2.910082983 0.7495437564 -2.282289409 1.216725488
33 -2 3.473626185 0.3263881177 -2.5 3.138323045
34 38 4.536799856 2.382019364 -0.7820941822 0.9599138872
34 44 4.399383314 2.134074822 -1.628864032 1.265901285
34 57 4.503017914 2.083433917 -1.766662788 1.020747679
34 -5 5 2.234551566 -1.14029075 1.813998979
34 -4 4.362760388 2.5 -0.4430691962 1.319084952
35 -5 5 1.897175252 1.707333395 1.222854064
35 -4 4.411274084 2.5 2.05256548 1.478912917
35 -1 3.951265789 1.922988909 2.5 1.182387457
36 40 4.405563915 -2.201189235 -0.7353923304 1.192550454
36 -5 5 -1.996698687 -0.4257641149 1.640070786
36 -6 4.219827479 -2.5 -1.134319197 1.565129138
37 43 4.51984676 1.737284532 0.01632148412 1.572255906
37 55 3.825696252 1.759603504 -0.01018429131 1.505810004
37 -5 5 1.688582982 0.04079758756 1.650264814
37 -4 4.057571712 2.5 -0.1394132293 1.88583637
38 -5 5 1.055423187 -0.1423161305 3.098293795
38 -4 4.53966511 2.5 -0.8270111665 0.9541046994
39 -2 1.459589452 0.4831419669 -2.5 4.330919026
40 -5 5 -1.97455291 -0.6558806974 1.061802651
40 -6 4.406404303 -2.5 -0.7784918065 1.190860714
41 52 1.777432173 1.455239591 2.254602441 0.523957004
41 -4 2.765576467 2.5 1.708964624 1.737821803
41 -1 1.837744697 1.697817913 2.5 1.966165156
42 -1 1.663597073 -0.15787987 2.5 4.825402441
43 -5 5 1.693829517 0.2336273235 1.623570378
43 -4 4.019553167 2.5 -0.2949205402 2.143799851
44 -4 4.141053272 2.5 -1.699045512 1.809601151
44 -5 5 1.560096223 -1.454082755 1.881460275
45 -6 3.099595049 -2.5 -0.7374028178 4.217138621
46 56 3.816094146 -0.9080368199 -0.9780934545 2.18660132
46 -5 5 -1.336859202 -0.6129956648 2.539832753
46 -6 3.97911541 -2.5 -1.599555294 2.253533457
47 -5 5 2.066865628 1.204499527 0.9350285588
47 -4 4.754313849 2.5 1.330142169 0.7780225525
48 -5 5 1.989575379 2.195624216 1.025058128
48 -4 4.704262917 2.5 2.324613252 0.6876654245
48 -1 4.485931989 1.9949882 2.5 1.021819222
49 -6 -0.09537782987 -2.5 1.142768385 3.025720901
49 -1 -0.8789708547 -1.921062676 2.5 1.180598633
50 -4 -1.288289928 2.5 -0.5116270914 4.002530922
51 53 4.238246101 -1.270896044 2.279274994 0.4526671132
51 -5 5 -1.32722069 2.301147144 0.6099784602
51 -1 4.509913991 -1.043370375 2.5 0.9858016509
52 -5 5 -0.5202128631 2.248313212 0.5051113927
52 -1 3.195661072 0.6064961295 2.5 4.232437674
53 -1 3.665297456 -1.385798178 2.5 2.180541458
54 -5 5 1.860641645 1.276764277 1.385975969
54 -4 4.445189279 2.5 1.143574664 1.141582259
55 -5 5 1.772756101 0.2830539061 1.479173663
55 -4 4.278183475 2.5 -0.03324323225 1.48868986
57 -5 5 1.865542015 -1.70033119 1.303066878
57 -4 4.499665037 2.5 -1.670159596 1.028129007
58 -5 5 -2.383006 2.260251267 0.5335430674
58 -6 4.153242333 -2.5 1.92099259 1.705169523
58 -1 4.141099069 -2.216756164 2.5 1.720624243
59 -4 -1.543970086 2.5 -2.105865712 1.02102203
59 -2 -0.9735871379 1.734996786 -2.5 1.607114117
