f1 f2 x y z length
1 2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 1.000000000000e+00
1 -3 -5.000000000000e-01 0.000000000000e+00 0.000000000000e+00 1.000000000000e+00
1 -6 -1.499999880791e-01 -5.000000000000e-01 0.000000000000e+00 7.000000238419e-01
1 -4 -1.499999880791e-01 5.000000000000e-01 0.000000000000e+00 7.000000238419e-01
2 3 0.000000000000e+00 0.000000000000e+00 2.000000000000e-01 1.000000000000e+00
2 4 0.000000000000e+00 0.000000000000e+00 -2.000000000000e-01 1.000000000000e+00
2 -6 0.000000000000e+00 -5.000000000000e-01 0.000000000000e+00 1.000000000000e+00
2 -2 0.000000000000e+00 0.000000000000e+00 -5.000000000000e-01 1.000000000000e+00
2 -4 0.000000000000e+00 5.000000000000e-01 0.000000000000e+00 1.000000000000e+00
2 -1 0.000000000000e+00 0.000000000000e+00 5.000000000000e-01 1.000000000000e+00
3 -5 5.000000000000e-01 0.000000000000e+00 2.000000000000e-01 1.000000000000e+00
3 -6 1.499999880791e-01 -5.000000000000e-01 2.000000000000e-01 7.000000238419e-01
3 -4 1.499999880791e-01 5.000000000000e-01 2.000000000000e-01 7.000000238419e-01
4 -5 5.000000000000e-01 0.000000000000e+00 -2.000000000000e-01 1.000000000000e+00
4 -6 1.499999880791e-01 -5.000000000000e-01 -2.000000000000e-01 7.000000238419e-01
4 -4 1.499999880791e-01 5.000000000000e-01 -2.000000000000e-01 7.000000238419e-01
