f1 f2 x y z length
1 2 0 0 0 1
1 -3 -0.5 0 0 1
1 -6 -0.1499999881 -0.5 0 0.7000000238
1 -4 -0.1499999881 0.5 0 0.7000000238
2 3 0 0 0.2 1
2 4 0 0 -0.2 1
2 -6 0 -0.5 0 1
2 -2 0 0 -0.5 1
2 -4 0 0.5 0 1
2 -1 0 0 0.5 1
3 -5 0.5 0 0.2 1
3 -6 0.1499999881 -0.5 0.2 0.7000000238
3 -4 0.1499999881 0.5 0.2 0.7000000238
4 -5 0.5 0 -0.2 1
4 -6 0.1499999881 -0.5 -0.2 0.7000000238
4 -4 0.1499999881 0.5 -0.2 0.7000000238
