f1 f2 x y z length
1 2 -0.4400775278 -2.887657506 -2.202578419 6.12884436
1 6 1.314075394 -0.3334738519 -0.4849156067 2.23961065
1 14 1.057923543 -3.500399949 -2.762829711 3.433766517
1 15 -2.293484566 -3.984552733 -2.855271072 2.983110699
1 19 3.834995311 -0.5015943974 -0.8015797318 3.028861472
1 -3 -5 -4.625666402 -3.111396427 0.9249577011
1 -6 -1.136575844 -5 -3.681354175 7.749856672
1 -5 5 -1.24073827 -1.427821978 5.246484256
2 3 -3.571547515 -0.4803673101 -3.546086305 3.534763253
2 4 1.279002317 -2.866867084 1.703643538 3.948958885
2 8 1.657389301 -4.036544512 -0.2085019303 2.52601081
2 12 -2.800255085 -0.7802955892 -2.523528578 2.517470647
2 -6 2.241400504 -5 -1.172475206 8.380923321
2 -2 -2.232239206 -2.369273466 -5 7.637073237
2 -3 -5 0.5337963388 -4.357106095 1.396400273
3 6 -2.572373636 1.099463744 -4.312405075 6.160975559
3 14 -0.8614045193 -1.028769684 -3.782744556 0.1830829208
3 -2 -1.249660832 2.333097973 -5 7.421241629
3 -3 -5 0.9145565359 -3.842761592 5.566148071
4 11 -1.666234605 -3.785528347 1.298551293 3.537094325
4 -6 -1.526512161 -5 1.40924544 4.852504383
4 -5 5 -0.1623851321 2.103177476 3.971837953
5 7 -0.8410261577 2.104372222 4.504406498 1.466856399
5 9 0.2757675963 3.353165903 4.557516145 0.8565210947
5 18 -0.1559411698 0.3770441296 4.82461158 2.155594369
5 -1 1.864932214 1.949465921 5 6.482894422
6 -2 -2.554491652 0.6691362003 -5 6.781546013
6 -3 -5 3.991438289 -3.37982534 3.780309547
7 10 -3.035356544 2.910234147 4.401384352 2.497998227
7 16 -4.168345238 2.994674512 3.974009993 1.874260145
7 -3 -5 2.317316496 2.826138728 5.809659887
7 -1 -2.465509088 3.207815101 5 5.476298162
8 -6 1.335328161 -5 -0.242124863 2.063392933
9 -3 -5 4.476654659 -0.05475508101 1.602017239
9 -4 -3.015875796 5 2.775823904 5.961110019
9 -1 -0.1303325393 4.127924374 5 2.508443506
10 -3 -5 4.305586727 2.299475213 5.006072408
10 -1 -3.470015021 3.364482995 5 3.448622179
11 15 -2.194337958 -3.937237501 -0.3212651848 1.391970152
11 -1 -0.9406505712 -3.32899496 5 1.286183381
12 -3 -5 -2.032291797 -1.603269274 1.89764808
13 17 2.080987986 1.709681875 -1.131264251 1.796824504
14 -6 2.154387807 -5 -2.413215518 2.14542818
14 -2 -0.3929547346 -2.183287435 -5 3.108575401
16 -3 -5 2.744136666 2.778882912 4.605692448
16 -1 -4.181308914 3.276748499 5 1.644320953
18 -1 -0.4635610573 0.03023735166 5 2.375112744
19 -5 5 -2.113389021 0.3598996971 2.910620518
