num_connections perm aperture
8 8.333333333e-10 0.0001
7 8.333333333e-10 0.0001
4 8.333333333e-10 0.0001
3 8.333333333e-10 0.0001
4 8.333333333e-10 0.0001
2 8.333333333e-10 0.0001
4 8.333333333e-10 0.0001
1 8.333333333e-10 0.0001
3 8.333333333e-10 0.0001
2 8.333333333e-10 0.0001
2 8.333333333e-10 0.0001
1 8.333333333e-10 0.0001
1 8.333333333e-10 0.0001
2 8.333333333e-10 0.0001
0 8.333333333e-10 0.0001
2 8.333333333e-10 0.0001
0 8.333333333e-10 0.0001
1 8.333333333e-10 0.0001
1 8.333333333e-10 0.0001
